,Channel,Light_status,mean_sleep_per_ind,Line,Genotype1,Genotype2,Sex
751,adj_Monitor70_ch15,Night,0.837172359015091,64498-32372,1,1,M
752,adj_Monitor20_ch10,Night,0.930500397140588,64498,1,0,F
753,adj_Monitor66_ch7,Night,0.90746624305004,32372,0,1,M
754,adj_Monitor22_ch26,Night,0.8631850675139,55690,1,0,M
755,adj_Monitor68_ch8,Night,0.885226370135028,55690-32372,1,1,M
756,adj_Monitor1_ch18,Night,0.943208895949166,tripsc,0,0,M
757,adj_Monitor21_ch2,Night,0.955123113582208,55690,1,0,F
758,adj_Monitor77_ch29,Night,0.767871326449563,64498-32372,1,1,F
759,adj_Monitor22_ch4,Night,0.844718030182685,55690,1,0,M
760,adj_Monitor70_ch17,Night,0.916799046862589,64498-32372,1,1,M
761,adj_Monitor70_ch2,Night,0.920571882446386,64498-32372,1,1,M
762,adj_Monitor66_ch22,Night,0.915806195393169,32372,0,1,M
763,adj_Monitor69_ch22,Night,0.915011914217633,55690-32372,1,1,F
764,adj_Monitor21_ch23,Night,0.881652104845115,55690,1,0,F
765,adj_Monitor20_ch7,Night,0.935861795075457,64498,1,0,F
766,adj_Monitor2_ch19,Night,0.88482922954726,tripsc,0,0,F
767,adj_Monitor1_ch10,Night,0.961278792692613,tripsc,0,0,M
