Gene,Line,Genotype1,Genotype2,Sex,Rep,Time,Tap
Control,control,0,0,F,50,37.5,N
Snr1,32372,0,1,F,6,37.51,N
CG5877-Snr1,55690-32372,1,1,M,39,37.51,N
CG5877,55690,1,0,M,7,37.52,N
CG5877-Snr1,55690-32372,1,1,M,48,37.52,N
CG5877-Snr1,55690-32372,1,1,F,8,37.54,N
Odc1,64498,1,0,M,36,37.56,N
CG5877-Snr1,55690-32372,1,1,M,47,37.59,N
CG5877,55690,1,0,F,10,37.62,N
Odc1-Snr1,64498-32372,1,1,F,34,37.64,N
CG5877,55690,1,0,M,12,37.66,N
Odc1,64498,1,0,M,6,37.66,N
CG5877,55690,1,0,F,34,37.67,N
Control,control,0,0,F,14,37.7,N
CG5877,55690,1,0,F,42,37.7,N
Control,control,0,0,M,16,37.72,N
Odc1,64498,1,0,M,21,37.75,N
Odc1-Snr1,64498-32372,1,1,M,36,37.75,N
CG5877,55690,1,0,M,47,37.77,N
CG5877,55690,1,0,F,1,37.79,N
Odc1-Snr1,64498-32372,1,1,M,15,37.79,N
Odc1,64498,1,0,M,27,37.81,N
CG5877,55690,1,0,M,40,37.83,N
Odc1,64498,1,0,M,48,37.83,N
Odc1-Snr1,64498-32372,1,1,M,35,37.84,N
Snr1,32372,0,1,F,7,37.85,N
Snr1,32372,0,1,M,32,37.9,N
Control,control,0,0,M,9,37.93,N
Control,control,0,0,M,32,37.96,N
Snr1,32372,0,1,F,14,37.97,N
Odc1-Snr1,64498-32372,1,1,M,49,37.99,N
Snr1,32372,0,1,F,47,38.01,N
CG5877-Snr1,55690-32372,1,1,M,19,38.04,N
Snr1,32372,0,1,F,48,38.05,N
Odc1-Snr1,64498-32372,1,1,M,22,38.08,N
Snr1,32372,0,1,F,42,38.11,N
Odc1-Snr1,64498-32372,1,1,F,35,38.11,N
Odc1,64498,1,0,F,30,38.2,N
Odc1,64498,1,0,F,50,38.2,N
CG5877-Snr1,55690-32372,1,1,M,33,38.2,N
Control,control,0,0,F,40,38.22,N
Odc1,64498,1,0,F,31,38.29,N
Odc1,64498,1,0,M,16,38.3,N
CG5877-Snr1,55690-32372,1,1,F,3,38.32,N
Snr1,32372,0,1,F,41,38.35,N
CG5877-Snr1,55690-32372,1,1,F,46,38.38,N
Snr1,32372,0,1,M,42,38.41,N
Odc1,64498,1,0,M,37,38.43,N
Control,control,0,0,F,4,38.47,N
CG5877,55690,1,0,M,27,38.49,N
CG5877-Snr1,55690-32372,1,1,F,47,38.53,N
Snr1,32372,0,1,F,20,38.56,N
CG5877-Snr1,55690-32372,1,1,M,2,38.57,N
Odc1-Snr1,64498-32372,1,1,F,39,38.57,N
CG5877,55690,1,0,F,2,38.61,N
CG5877-Snr1,55690-32372,1,1,F,48,38.61,N
Snr1,32372,0,1,F,12,38.63,N
CG5877,55690,1,0,M,5,38.64,N
CG5877-Snr1,55690-32372,1,1,F,49,38.64,N
CG5877-Snr1,55690-32372,1,1,M,12,38.65,N
Snr1,32372,0,1,F,4,38.68,N
Snr1,32372,0,1,F,46,38.71,N
Control,control,0,0,F,12,38.72,Y
Odc1,64498,1,0,F,34,38.72,N
Odc1,64498,1,0,F,7,38.76,N
Snr1,32372,0,1,F,38,38.76,N
CG5877,55690,1,0,M,9,38.82,N
CG5877-Snr1,55690-32372,1,1,F,44,38.83,N
CG5877-Snr1,55690-32372,1,1,F,30,38.86,N
Odc1-Snr1,64498-32372,1,1,M,5,38.87,N
Odc1-Snr1,64498-32372,1,1,F,30,38.89,N
CG5877,55690,1,0,F,38,38.92,N
Control,control,0,0,M,21,38.94,N
CG5877,55690,1,0,F,4,38.98,N
Snr1,32372,0,1,F,31,39.05,N
Odc1,64498,1,0,F,46,39.07,N
Odc1-Snr1,64498-32372,1,1,F,18,39.07,N
Odc1-Snr1,64498-32372,1,1,F,6,39.09,N
Snr1,32372,0,1,M,22,39.11,N
Snr1,32372,0,1,F,44,39.13,N
Odc1-Snr1,64498-32372,1,1,M,32,39.14,Y
Odc1,64498,1,0,F,47,39.16,N
Odc1-Snr1,64498-32372,1,1,F,15,39.17,N
CG5877-Snr1,55690-32372,1,1,F,32,39.19,N
CG5877-Snr1,55690-32372,1,1,M,26,39.21,N
Odc1-Snr1,64498-32372,1,1,F,12,39.22,N
Control,control,0,0,F,2,39.23,N
Odc1,64498,1,0,M,15,39.24,N
CG5877-Snr1,55690-32372,1,1,F,20,39.26,N
Control,control,0,0,M,6,39.29,N
Control,control,0,0,F,46,39.29,Y
Snr1,32372,0,1,F,35,39.31,N
Control,control,0,0,M,36,39.33,N
CG5877,55690,1,0,F,21,39.33,N
Control,control,0,0,F,44,39.34,N
CG5877,55690,1,0,F,5,39.35,N
Odc1-Snr1,64498-32372,1,1,F,47,39.36,N
Control,control,0,0,F,3,39.38,N
Control,control,0,0,F,16,39.38,N
Odc1-Snr1,64498-32372,1,1,M,42,39.4,N
CG5877-Snr1,55690-32372,1,1,M,34,39.41,N
CG5877,55690,1,0,M,46,39.42,N
Control,control,0,0,M,26,39.44,N
Odc1-Snr1,64498-32372,1,1,F,27,39.45,N
Snr1,32372,0,1,M,33,39.46,N
CG5877-Snr1,55690-32372,1,1,M,50,39.46,N
Control,control,0,0,M,38,39.56,N
Control,control,0,0,F,39,39.56,N
CG5877,55690,1,0,F,33,39.59,N
CG5877,55690,1,0,M,18,39.6,N
Odc1,64498,1,0,M,4,39.63,N
Odc1,64498,1,0,F,38,39.64,N
CG5877-Snr1,55690-32372,1,1,M,21,39.64,N
CG5877,55690,1,0,F,12,39.65,N
Control,control,0,0,M,41,39.66,N
Control,control,0,0,M,14,39.67,N
Snr1,32372,0,1,F,29,39.69,N
Control,control,0,0,M,27,39.7,N
CG5877,55690,1,0,M,23,39.7,N
Odc1-Snr1,64498-32372,1,1,F,48,39.72,N
Control,control,0,0,M,29,39.79,N
Odc1-Snr1,64498-32372,1,1,F,31,39.8,N
CG5877-Snr1,55690-32372,1,1,F,13,39.82,N
Odc1-Snr1,64498-32372,1,1,F,26,39.82,N
Snr1,32372,0,1,F,19,39.85,N
CG5877,55690,1,0,F,43,39.86,Y
CG5877-Snr1,55690-32372,1,1,F,10,39.86,N
CG5877-Snr1,55690-32372,1,1,M,28,39.88,N
Control,control,0,0,M,47,39.89,N
Control,control,0,0,M,49,39.89,N
Snr1,32372,0,1,M,29,39.89,N
Odc1,64498,1,0,F,43,39.95,N
Snr1,32372,0,1,F,21,39.95,N
Snr1,32372,0,1,F,8,39.97,N
Snr1,32372,0,1,F,18,39.98,N
Snr1,32372,0,1,F,17,39.99,N
CG5877,55690,1,0,F,27,40.01,N
Control,control,0,0,F,21,40.03,N
Control,control,0,0,F,30,40.03,N
CG5877-Snr1,55690-32372,1,1,M,17,40.03,N
CG5877-Snr1,55690-32372,1,1,F,11,40.05,N
Odc1-Snr1,64498-32372,1,1,F,41,40.05,N
CG5877,55690,1,0,M,38,40.09,N
