lobe,length_left,norm_length_left,sex,gene,line,driver,length_right,norm_length_right,avg_norm_length
alpha,63.118,0.584209552,M,SMC1,34351,ubi56,60.804,0.562791559,0.573500556
alpha,66.341,0.576326992,F,SMC1,34351,ubi56,64.315,0.558726436,0.567526714
alpha,61.482,0.554991876,M,SMC1,34351,ubi56,63.499,0.573199133,0.564095505
alpha,58.706,0.531276018,M,SMC1,34351,ubi56,64.261,0.581547511,0.556411765
alpha,66.865,0.581637091,F,SMC1,34351,ubi56,60.67,0.527748782,0.554692937
beta,48.91,0.517248673,M,SMC1,34351,ubi56,55.854,0.590685082,0.553966878
alpha,61.421,0.528216374,F,SMC1,34351,ubi56,67.175,0.577700378,0.552958376
alpha,66.594,0.545450078,F,SMC1,34351,ubi56,68.205,0.558645262,0.55204767
alpha,73.578,0.541532347,F,SMC1,34351,ubi56,76.157,0.560513726,0.551023037
alpha,62.719,0.564171989,F,SMC1,34351,ubi56,59.717,0.537168301,0.550670145
alpha,55.687,0.549560841,M,SMC1,34351,ubi56,55.007,0.542850094,0.546205468
alpha,66.149,0.554429637,F,SMC1,34351,ubi56,61.925,0.519026067,0.536727852
beta,57.341,0.543619644,F,SMC1,34351,ubi56,55.632,0.52741752,0.535518582
alpha,63.476,0.542761864,M,SMC1,34351,ubi56,60.96,0.521248397,0.532005131
beta,53.885,0.537399023,M,SMC1,34351,ubi56,52.757,0.526149397,0.53177421
beta,51.956,0.521840443,M,SMC1,34351,ubi56,53.195,0.534284825,0.528062634
beta,61.498,0.540404218,F,SMC1,34351,ubi56,58.64,0.515289982,0.5278471
beta,54.139,0.507537264,F,SMC1,34351,ubi56,58.4,0.547482891,0.527510078
beta,52.202,0.516646873,M,SMC1,34351,ubi56,54.222,0.536638955,0.526642914
beta,48.234,0.486661555,F,SMC1,34351,ubi56,55.775,0.562747195,0.524704375
alpha,66.051,0.547414222,F,SMC1,34351,ubi56,60.504,0.501442069,0.524428146
beta,49.35136301,0.511234255,M,SMC1,34351,ubi56,51.80411566,0.536642493,0.523938374
beta,64.349,0.553396973,F,SMC1,34351,ubi56,57.04,0.490540076,0.521968525
beta,52.081,0.527921097,M,SMC1,34351,ubi56,50.813,0.515067965,0.521494531
alpha,60.194,0.535295687,M,SMC1,34351,ubi56,56.919,0.506171632,0.52073366
beta,49.207,0.514486162,F,SMC1,34351,ubi56,49.544,0.518009682,0.516247922
beta,53.548,0.513896353,M,SMC1,34351,ubi56,54.012,0.518349328,0.516122841
alpha,65.32,0.49957935,F,SMC1,34351,ubi56,69.635,0.532581262,0.516080306
beta,54.76,0.492578933,F,SMC1,34351,ubi56,59.789,0.537815958,0.515197446
beta,60.012,0.522025052,F,SMC1,34351,ubi56,57.313,0.498547321,0.510286187
beta,62.649,0.519219294,F,SMC1,34351,ubi56,60.447,0.500969667,0.510094481
beta,62.502,0.523292029,F,SMC1,34351,ubi56,58.603,0.490648024,0.506970027
beta,51.201,0.505289648,M,SMC1,34351,ubi56,51.347,0.506730485,0.506010067
beta,64.152,0.52544844,F,SMC1,34351,ubi56,59.259,0.485371447,0.505409944
alpha,62.308,0.502159897,M,SMC1,34351,ubi56,62.399,0.502893295,0.502526596
beta,50.958,0.471658645,M,SMC1,34351,ubi56,57.53,0.532487967,0.502073306
beta,50.251,0.45361076,M,SMC1,34351,ubi56,60.873,0.549494494,0.501552627
beta,55.558,0.494068475,M,SMC1,34351,ubi56,56.88,0.505824811,0.499946643
alpha,56.494,0.472990623,F,SMC1,34351,ubi56,62.826,0.526004689,0.499497656
beta,50.275,0.512769516,M,SMC1,34351,ubi56,47.664,0.486139159,0.499454338
alpha,61.681,0.487982595,F,SMC1,34351,ubi56,64.559,0.510751582,0.499367089
beta,55.345,0.469582556,F,SMC1,34351,ubi56,61.985,0.525920584,0.49775157
beta,47.302,0.459555037,F,SMC1,34351,ubi56,54.832,0.532711552,0.496133295
beta,47.651,0.461466202,M,SMC1,34351,ubi56,54.4,0.526825489,0.494145846
beta,54.371,0.507807976,M,SMC1,34351,ubi56,50.432,0.47101896,0.489413468
beta,62.581,0.495102848,F,SMC1,34351,ubi56,60.912,0.481898734,0.488500791
beta,51.521,0.466253394,M,SMC1,34351,ubi56,56.005,0.506832579,0.486542987
beta,62.994,0.507688588,M,SMC1,34351,ubi56,57.024,0.459574468,0.483631528
beta,54.648,0.458033694,F,SMC1,34351,ubi56,60.169,0.504308105,0.4811709
alpha,57.133,0.494786525,M,SMC1,34351,ubi56,53.66,0.464709448,0.479747987
beta,52.343,0.447567336,M,SMC1,34351,ubi56,59.564,0.509311672,0.478439504
beta,44.247,0.440531661,M,SMC1,34351,ubi56,51.752,0.515252887,0.477892274
alpha,55.766,0.490035149,F,SMC1,34351,ubi56,51.917,0.456212654,0.473123902
beta,62.051,0.537377674,M,SMC1,34351,ubi56,47.1,0.407898155,0.472637915
beta,54.552,0.47391191,F,SMC1,34351,ubi56,54.095,0.469941795,0.471926853
beta,63.694,0.46878634,F,SMC1,34351,ubi56,64.009,0.471104732,0.469945536
beta,51.613,0.417817534,M,SMC1,34351,ubi56,63.545,0.514409455,0.466113495
beta,59.742,0.456917782,F,SMC1,34351,ubi56,62.052,0.474585086,0.465751434
alpha,51.792,0.419266575,M,SMC1,34351,ubi56,61.425,0.497247632,0.458257104
beta,68.51,0.490759312,F,SMC1,34351,ubi56,55.589,0.398202006,0.444480659
beta,65.169,0.40937873,F,SMC1,34351,ubi56,54.739,0.343859539,0.376619135
alpha,58.783,0.369263145,F,SMC1,34351,ubi56,53.038,0.333174194,0.35121867
alpha,39.822,0.28525788,F,SMC1,34351,ubi56,49.892,0.35739255,0.321325215
alpha,70.689,0.724183502,M,brm,35211,ubi156,70.487,0.722114084,0.723148793
alpha,67.569,0.753706121,M,brm,35211,ubi156,61.409,0.684993698,0.71934991
alpha,66.17,0.690147896,M,brm,35211,ubi156,68.356,0.712947704,0.7015478
alpha,72.827,0.659784381,M,brm,35211,ubi156,75.061,0.680023555,0.669903968
alpha,64.932,0.646218153,M,brm,35211,ubi156,63.704,0.633996815,0.640107484
alpha,62.1,0.621640289,M,brm,35211,ubi156,65.736,0.658037779,0.639839034
alpha,70.001,0.616694564,M,brm,35211,ubi156,75.219,0.662664082,0.639679323
alpha,59.713,0.631235663,M,brm,35211,ubi156,60.612,0.640739135,0.635987399
alpha,71.365,0.643972207,F,brm,35211,ubi156,69.25,0.624887204,0.634429706
alpha,67.418,0.651129998,M,brm,35211,ubi156,63.682,0.615047325,0.633088662
alpha,65.877,0.660043885,M,brm,35211,ubi156,60.324,0.604406505,0.632225195
alpha,71.805,0.629978944,M,brm,35211,ubi156,71.633,0.628469907,0.629224426
alpha,71.796,0.640178333,M,brm,35211,ubi156,68.774,0.613232278,0.626705306
alpha,68.128,0.605151892,F,brm,35211,ubi156,71.301,0.633336294,0.619244093
alpha,61.938,0.624702465,M,brm,35211,ubi156,60.403,0.609220559,0.616961512
alpha,74.615,0.637244854,F,brm,35211,ubi156,68.446,0.584558886,0.61090187
alpha,80.605,0.622817184,F,brm,35211,ubi156,77.039,0.595263483,0.609040334
