Monitor,Channel,Line,Sex,Activity
Monitor7,ch30,36786,M,771.6666667
Monitor7,ch19,36786,M,864.6666667
Monitor1,ch31,36786,F,820.4444444
Monitor7,ch27,36786,M,792.6666667
Monitor7,ch20,36786,M,1047.555556
Monitor1,ch3,36786,F,1088.222222
Monitor1,ch26,36786,F,935.8888889
Monitor7,ch12,36786,M,1132.333333
Monitor7,ch1,36786,M,891.2222222
Monitor7,ch28,36786,M,1062
Monitor7,ch8,36786,M,1022.111111
Monitor1,ch11,36786,F,1619.222222
Monitor1,ch29,36786,F,1073.666667
Monitor1,ch8,36786,F,1072.222222
Monitor1,ch1,36786,F,1353.777778
Monitor1,ch9,36786,F,1087.888889
Monitor1,ch7,36786,F,1471.666667
Monitor1,ch20,36786,F,1142
Monitor1,ch21,36786,F,1054.111111
Monitor1,ch30,36786,F,1428.777778
Monitor1,ch22,36786,F,1213.333333
Monitor1,ch24,36786,F,1355.777778
Monitor1,ch15,36786,F,1350.222222
Monitor1,ch6,36786,F,1337.333333
Monitor1,ch18,36786,F,1282.888889
Monitor1,ch13,36786,F,1444.555556
Monitor1,ch14,36786,F,1983.111111
Monitor1,ch28,36786,F,1721.777778
Monitor1,ch27,36786,F,1784.333333
Monitor1,ch23,36786,F,1992.444444
Monitor1,ch32,36786,F,1762.333333
Monitor1,ch5,36786,F,2281
Monitor1,ch12,36786,F,2340.666667
Monitor1,ch17,36786,F,3197.444444
Monitor1,ch16,36786,F,2901.111111
Monitor1,ch4,36786,F,3311.222222
Monitor9,ch20,60017,M,567.7777778
Monitor9,ch7,60017,M,390.4444444
Monitor9,ch10,60017,M,498.1111111
Monitor9,ch30,60017,M,560.2222222
Monitor9,ch27,60017,M,353.8888889
Monitor9,ch21,60017,M,611.3333333
Monitor9,ch26,60017,M,493.7777778
Monitor9,ch29,60017,M,471.1111111
Monitor9,ch14,60017,M,444.3333333
Monitor60,ch27,60017,F,516.4444444
Monitor9,ch12,60017,M,477.2222222
Monitor9,ch16,60017,M,564.7777778
Monitor9,ch18,60017,M,498.4444444
Monitor9,ch13,60017,M,557.1111111
Monitor9,ch22,60017,M,640.7777778
Monitor60,ch11,60017,F,663.1111111
Monitor60,ch31,60017,F,518.1111111
Monitor9,ch8,60017,M,461.2222222
Monitor9,ch32,60017,M,545.4444444
Monitor9,ch25,60017,M,534.2222222
Monitor9,ch6,60017,M,652.4444444
Monitor9,ch17,60017,M,709.3333333
Monitor60,ch23,60017,F,725.3333333
Monitor60,ch2,60017,F,612.6666667
Monitor60,ch19,60017,F,642.4444444
Monitor9,ch9,60017,M,719.5555556
Monitor60,ch22,60017,F,976.4444444
Monitor60,ch9,60017,F,761.5555556
Monitor9,ch24,60017,M,630.4444444
Monitor9,ch19,60017,M,782.1111111
Monitor9,ch23,60017,M,691.4444444
Monitor60,ch18,60017,F,654.4444444
Monitor60,ch13,60017,F,723.8888889
Monitor9,ch11,60017,M,726.8888889
Monitor60,ch17,60017,F,918
Monitor9,ch15,60017,M,629.4444444
Monitor60,ch29,60017,F,714.6666667
Monitor9,ch31,60017,M,819.5555556
Monitor60,ch15,60017,F,851.2222222
Monitor60,ch20,60017,F,812.3333333
Monitor60,ch16,60017,F,767.2222222
Monitor60,ch3,60017,F,818.6666667
Monitor60,ch7,60017,F,756.2222222
Monitor60,ch21,60017,F,742.3333333
Monitor60,ch25,60017,F,777.4444444
Monitor60,ch24,60017,F,831.1111111
Monitor60,ch28,60017,F,721.3333333
Monitor60,ch26,60017,F,1084.888889
Monitor60,ch6,60017,F,1082.666667
Monitor60,ch1,60017,F,843.8888889
Monitor60,ch14,60017,F,887.8888889
Monitor60,ch30,60017,F,885.4444444
Monitor60,ch12,60017,F,911.1111111
Monitor60,ch32,60017,F,894.4444444
Monitor60,ch10,60017,F,1023.666667
Monitor60,ch4,60017,F,1341.888889
Monitor60,ch8,60017,F,1322.111111
Monitor9,ch28,60017,M,1268.555556
Monitor60,ch5,60017,F,1122
Monitor13,ch25,Control,M,121.1111111
Monitor13,ch12,Control,M,312.8888889
Monitor13,ch9,Control,M,401.5555556
Monitor13,ch14,Control,M,439.4444444
Monitor13,ch19,Control,M,378.5555556
Monitor13,ch21,Control,M,263
Monitor13,ch13,Control,M,300.6666667
Monitor57,ch13,Control,F,528.6666667
Monitor13,ch11,Control,M,444.5555556
Monitor13,ch6,Control,M,310.2222222
Monitor13,ch1,Control,M,451.4444444
Monitor13,ch5,Control,M,380.6666667
Monitor13,ch30,Control,M,386.1111111
Monitor13,ch15,Control,M,351.7777778
Monitor13,ch20,Control,M,350.1111111
Monitor57,ch24,Control,F,474.1111111
Monitor13,ch22,Control,M,322.8888889
Monitor57,ch8,Control,F,485.4444444
Monitor13,ch23,Control,M,363.8888889
Monitor13,ch26,Control,M,404.8888889
Monitor57,ch3,Control,F,498.3333333
Monitor57,ch22,Control,F,552.5555556
Monitor13,ch2,Control,M,453.3333333
Monitor13,ch17,Control,M,492.8888889
Monitor13,ch24,Control,M,438.5555556
Monitor13,ch7,Control,M,461.2222222
Monitor13,ch10,Control,M,375.4444444
Monitor13,ch3,Control,M,547.7777778
Monitor13,ch32,Control,M,472.2222222
Monitor13,ch8,Control,M,538.8888889
Monitor13,ch4,Control,M,402
Monitor57,ch29,Control,F,512.7777778
Monitor57,ch18,Control,F,544.7777778
Monitor13,ch16,Control,M,651.5555556
Monitor13,ch31,Control,M,478.5555556
Monitor13,ch18,Control,M,451.6666667
Monitor57,ch23,Control,F,552.8888889
Monitor13,ch28,Control,M,449.7777778
Monitor13,ch29,Control,M,477
Monitor57,ch32,Control,F,631.8888889
Monitor57,ch19,Control,F,625.5555556
Monitor57,ch9,Control,F,544.5555556
Monitor57,ch14,Control,F,552.5555556
Monitor57,ch16,Control,F,639
Monitor57,ch28,Control,F,505.4444444
Monitor13,ch27,Control,M,520.3333333
Monitor57,ch25,Control,F,645.1111111
Monitor57,ch20,Control,F,726.7777778
Monitor57,ch1,Control,F,787.4444444
Monitor57,ch4,Control,F,800.3333333
Monitor57,ch21,Control,F,633.6666667
Monitor57,ch11,Control,F,588
Monitor57,ch30,Control,F,726.7777778
Monitor57,ch31,Control,F,557.3333333
Monitor57,ch6,Control,F,690.2222222
Monitor57,ch5,Control,F,732.5555556
Monitor57,ch26,Control,F,649.5555556
Monitor57,ch2,Control,F,663.8888889
Monitor57,ch17,Control,F,772.8888889
Monitor57,ch10,Control,F,756.6666667
Monitor57,ch27,Control,F,759.5555556
Monitor57,ch7,Control,F,923.1111111
