Monitor,Channel,Line,Sex,sleep_bout_count,Light_status
Monitor72,ch4,34351,F,7.444444444,Night
Monitor72,ch5,34351,F,5.888888889,Night
Monitor72,ch6,34351,F,7.222222222,Night
Monitor72,ch7,34351,F,5.888888889,Night
Monitor72,ch8,34351,F,5,Night
Monitor72,ch9,34351,F,14.11111111,Night
Monitor8,ch1,34351,M,4.333333333,Night
Monitor8,ch10,34351,M,1.888888889,Night
Monitor8,ch11,34351,M,7,Night
Monitor8,ch12,34351,M,3.888888889,Night
Monitor8,ch13,34351,M,2.375,Night
Monitor8,ch14,34351,M,7.333333333,Night
Monitor8,ch15,34351,M,5,Night
Monitor8,ch16,34351,M,1.857142857,Night
Monitor8,ch17,34351,M,5.625,Night
Monitor8,ch18,34351,M,3.714285714,Night
Monitor8,ch19,34351,M,1.5,Night
Monitor8,ch2,34351,M,2.555555556,Night
Monitor8,ch20,34351,M,3.444444444,Night
Monitor8,ch21,34351,M,6.888888889,Night
Monitor8,ch22,34351,M,3.25,Night
Monitor8,ch23,34351,M,8.333333333,Night
Monitor8,ch24,34351,M,4.875,Night
Monitor8,ch25,34351,M,6.777777778,Night
Monitor8,ch26,34351,M,5.625,Night
Monitor8,ch27,34351,M,5.666666667,Night
Monitor8,ch28,34351,M,5.777777778,Night
Monitor8,ch29,34351,M,6,Night
Monitor8,ch3,34351,M,4.75,Night
Monitor8,ch30,34351,M,4.125,Night
Monitor8,ch31,34351,M,5.5,Night
Monitor8,ch4,34351,M,6.5,Night
Monitor8,ch5,34351,M,3.333333333,Night
Monitor8,ch6,34351,M,3.5,Night
Monitor8,ch7,34351,M,3.111111111,Night
Monitor8,ch8,34351,M,5.25,Night
Monitor8,ch9,34351,M,5.777777778,Night
Monitor72,ch1,34351,F,9.111111111,Day
Monitor72,ch10,34351,F,6.666666667,Day
Monitor72,ch11,34351,F,3.888888889,Day
Monitor72,ch12,34351,F,5,Day
Monitor72,ch13,34351,F,7.555555556,Day
Monitor72,ch14,34351,F,6.111111111,Day
Monitor72,ch15,34351,F,6.333333333,Day
Monitor72,ch16,34351,F,6.444444444,Day
Monitor72,ch17,34351,F,6.777777778,Day
Monitor72,ch18,34351,F,6.888888889,Day
Monitor72,ch19,34351,F,8.888888889,Day
Monitor72,ch2,34351,F,6,Day
Monitor72,ch20,34351,F,8.222222222,Day
Monitor72,ch21,34351,F,5.222222222,Day
Monitor72,ch22,34351,F,9.333333333,Day
Monitor72,ch23,34351,F,7.777777778,Day
Monitor72,ch24,34351,F,11.33333333,Day
Monitor72,ch25,34351,F,10.33333333,Day
Monitor72,ch26,34351,F,7.777777778,Day
Monitor72,ch27,34351,F,8.555555556,Day
Monitor72,ch28,34351,F,9.222222222,Day
Monitor72,ch29,34351,F,9,Day
Monitor72,ch3,34351,F,10.55555556,Day
Monitor72,ch30,34351,F,7.666666667,Day
Monitor72,ch31,34351,F,6,Day
Monitor72,ch32,34351,F,10.11111111,Day
Monitor72,ch4,34351,F,7.111111111,Day
Monitor72,ch5,34351,F,9.444444444,Day
Monitor72,ch6,34351,F,8.444444444,Day
Monitor72,ch7,34351,F,6.666666667,Day
Monitor72,ch8,34351,F,10.44444444,Day
