Monitor,Channel,Line,Sex,mean_sleep_per_ind,Light_status
Monitor59,ch19,55690,F,6.5,Day
Monitor59,ch2,55690,F,10.33333333,Day
Monitor59,ch20,55690,F,14.33333333,Day
Monitor59,ch21,55690,F,7.5,Day
Monitor59,ch22,55690,F,9.166666667,Day
Monitor59,ch23,55690,F,5.166666667,Day
Monitor59,ch24,55690,F,3.666666667,Day
Monitor59,ch25,55690,F,13.33333333,Day
Monitor59,ch26,55690,F,10.5,Day
Monitor59,ch27,55690,F,12.83333333,Day
Monitor59,ch28,55690,F,6.833333333,Day
Monitor59,ch29,55690,F,6.166666667,Day
Monitor59,ch3,55690,F,9,Day
Monitor59,ch30,55690,F,8,Day
Monitor59,ch31,55690,F,6.666666667,Day
Monitor59,ch32,55690,F,13.66666667,Day
Monitor59,ch4,55690,F,7.5,Day
Monitor59,ch5,55690,F,6.833333333,Day
Monitor59,ch6,55690,F,7.166666667,Day
Monitor59,ch7,55690,F,8.333333333,Day
Monitor59,ch8,55690,F,10.5,Day
Monitor59,ch9,55690,F,11.16666667,Day
Monitor5,ch1,80387,F,13.83333333,Day
Monitor5,ch10,80387,F,13,Day
Monitor5,ch11,80387,F,9.833333333,Day
Monitor5,ch12,80387,F,13,Day
Monitor5,ch13,80387,F,6.166666667,Day
Monitor5,ch14,80387,F,3.833333333,Day
Monitor5,ch15,80387,F,18.33333333,Day
Monitor5,ch16,80387,F,20.83333333,Day
Monitor5,ch17,80387,F,8.333333333,Day
Monitor5,ch18,80387,F,11.5,Day
Monitor5,ch19,80387,F,16.33333333,Day
Monitor5,ch2,80387,F,16,Day
Monitor5,ch20,80387,F,12.83333333,Day
Monitor5,ch21,80387,F,18.33333333,Day
Monitor5,ch22,80387,F,5.833333333,Day
Monitor5,ch23,80387,F,7,Day
Monitor5,ch24,80387,F,12.83333333,Day
Monitor5,ch25,80387,F,8.333333333,Day
Monitor5,ch26,80387,F,10.66666667,Day
Monitor5,ch27,80387,F,18.83333333,Day
Monitor5,ch28,80387,F,12,Day
Monitor5,ch3,80387,F,14,Day
Monitor5,ch30,80387,F,14.66666667,Day
Monitor5,ch31,80387,F,15.16666667,Day
Monitor5,ch32,80387,F,10.5,Day
Monitor5,ch4,80387,F,9.666666667,Day
Monitor5,ch5,80387,F,14.83333333,Day
Monitor5,ch6,80387,F,15.5,Day
Monitor5,ch7,80387,F,17.16666667,Day
Monitor5,ch8,80387,F,10.16666667,Day
Monitor5,ch9,80387,F,9.166666667,Day
Monitor60,ch1,66945,M,7.833333333,Day
Monitor60,ch10,66945,M,10.33333333,Day
Monitor60,ch11,66945,M,9.166666667,Day
Monitor60,ch12,66945,M,10.16666667,Day
Monitor60,ch13,66945,M,16.16666667,Day
Monitor60,ch14,66945,M,11.66666667,Day
Monitor60,ch15,66945,M,10.33333333,Day
