Monitor,Channel,Line,Sex,Light_Status,mean_sleep_per_ind
Monitor7,ch18,Control,F,Day,0.527314815
Monitor58,ch9,62872,F,Day,0.37962963
Monitor77,ch20,64498,F,Day,0.443287037
Monitor22,ch26,64498,M,Day,0.62037037
Monitor60,ch17,66945,M,Day,0.84375
Monitor63,ch25,56014,F,Day,0.370833333
Monitor58,ch28,62872,F,Day,0.40162037
Monitor60,ch7,66945,M,Day,0.778703704
Monitor77,ch4,64498,F,Day,0.278935185
Monitor58,ch24,62872,F,Day,0.226851852
Monitor24,ch8,Control,M,Day,0.683796296
Monitor58,ch31,62872,F,Day,0.552314815
Monitor60,ch22,66945,M,Day,0.814583333
Monitor72,ch9,66945,F,Day,0.711111111
Monitor22,ch22,64498,M,Day,0.739351852
Monitor18,ch16,80387,M,Day,0.636342593
Monitor24,ch7,Control,M,Day,0.732175926
Monitor5,ch20,80387,F,Day,0.553240741
Monitor22,ch5,64498,M,Day,0.709953704
Monitor75,ch32,55690,M,Day,0.743287037
Monitor60,ch26,66945,M,Day,0.790509259
Monitor56,ch14,62872,M,Day,0.583796296
Monitor8,ch26,56014,M,Day,0.433333333
Monitor8,ch24,56014,M,Day,0.651157407
Monitor60,ch12,66945,M,Day,0.687037037
Monitor58,ch17,62872,F,Day,0.334722222
Monitor7,ch1,Control,F,Day,0.57962963
Monitor22,ch24,64498,M,Day,0.380555556
Monitor7,ch29,Control,F,Day,0.45
Monitor59,ch7,55690,F,Day,0.643287037
Monitor8,ch4,56014,M,Day,0.561342593
Monitor56,ch12,62872,M,Day,0.7125
Monitor18,ch23,80387,M,Day,0.671759259
Monitor77,ch24,64498,F,Day,0.555324074
Monitor63,ch13,56014,F,Day,0.529398148
Monitor22,ch8,64498,M,Day,0.61875
Monitor60,ch29,66945,M,Day,0.69212963
Monitor8,ch25,56014,M,Day,0.775
Monitor8,ch15,56014,M,Day,0.734953704
Monitor59,ch10,55690,F,Day,0.65
Monitor75,ch8,55690,M,Day,0.705092593
Monitor63,ch26,56014,F,Day,0.572453704
Monitor8,ch21,56014,M,Day,0.6
Monitor18,ch5,80387,M,Day,0.734722222
Monitor8,ch28,56014,M,Day,0.545138889
Monitor24,ch1,Control,M,Day,0.743518519
Monitor63,ch11,56014,F,Day,0.596296296
Monitor72,ch29,66945,F,Day,0.471296296
Monitor24,ch25,Control,M,Day,0.643055556
Monitor22,ch12,64498,M,Day,0.518287037
Monitor72,ch20,66945,F,Day,0.756481481
Monitor56,ch22,62872,M,Day,0.439351852
Monitor75,ch20,55690,M,Day,0.702777778
Monitor22,ch32,64498,M,Day,0.555555556
Monitor18,ch29,80387,M,Day,0.780092593
Monitor18,ch22,80387,M,Day,0.667824074
Monitor56,ch24,62872,M,Day,0.461805556
Monitor7,ch13,Control,F,Day,0.530092593
Monitor7,ch6,Control,F,Day,0.451157407
Monitor77,ch11,64498,F,Day,0.26875
Monitor75,ch1,55690,M,Day,0.816203704
Monitor58,ch8,62872,F,Day,0.394907407
Monitor18,ch7,80387,M,Day,0.738657407
Monitor7,ch14,Control,F,Day,0.464583333
Monitor22,ch25,64498,M,Day,0.641666667
Monitor77,ch18,64498,F,Day,0.491435185
Monitor60,ch23,66945,M,Day,0.690046296
Monitor75,ch27,55690,M,Day,0.827546296
Monitor5,ch16,80387,F,Day,0.66087963
Monitor75,ch21,55690,M,Day,0.701388889
Monitor56,ch9,62872,M,Day,0.495138889
Monitor75,ch26,55690,M,Day,0.654861111
Monitor24,ch11,Control,M,Day,0.648611111
Monitor56,ch20,62872,M,Day,0.638888889
Monitor63,ch19,56014,F,Day,0.346296296
Monitor7,ch7,Control,F,Day,0.521990741
Monitor24,ch24,Control,M,Day,0.873611111
Monitor63,ch29,56014,F,Day,0.581018519
Monitor72,ch21,66945,F,Day,0.575
Monitor77,ch12,64498,F,Day,0.593055556
Monitor75,ch28,55690,M,Day,0.852546296
Monitor58,ch5,62872,F,Day,0.275925926
Monitor77,ch19,64498,F,Day,0.33287037
Monitor59,ch17,55690,F,Day,0.516435185
Monitor8,ch10,56014,M,Day,0.56412037
Monitor72,ch1,66945,F,Day,0.555324074
Monitor5,ch21,80387,F,Day,0.650694444
Monitor22,ch4,64498,M,Day,0.799074074
Monitor60,ch15,66945,M,Day,0.562268519
Monitor18,ch19,80387,M,Day,0.763657407
Monitor58,ch25,62872,F,Day,0.435648148
Monitor8,ch23,56014,M,Day,0.385648148
Monitor63,ch9,56014,F,Day,0.522222222
Monitor7,ch32,Control,F,Day,0.580092593
Monitor7,ch3,Control,F,Day,0.603935185
Monitor18,ch8,80387,M,Day,0.680787037
Monitor7,ch19,Control,F,Day,0.652083333
Monitor18,ch30,80387,M,Day,0.550231481
Monitor75,ch18,55690,M,Day,0.685416667
Monitor22,ch31,64498,M,Day,0.633101852
Monitor72,ch28,66945,F,Day,0.590277778
Monitor59,ch14,55690,F,Day,0.746296296
Monitor59,ch3,55690,F,Day,0.77662037
Monitor75,ch15,55690,M,Day,0.772916667
Monitor22,ch20,64498,M,Day,0.716435185
Monitor18,ch27,80387,M,Day,0.764814815
Monitor63,ch27,56014,F,Day,0.53912037
Monitor63,ch23,56014,F,Day,0.517592593
Monitor18,ch18,80387,M,Day,0.748611111
Monitor7,ch12,Control,F,Day,0.530092593
Monitor58,ch3,62872,F,Day,0.405555556
Monitor8,ch18,56014,M,Day,0.471527778
Monitor63,ch28,56014,F,Day,0.353009259
Monitor5,ch9,80387,F,Day,0.816435185
Monitor60,ch6,66945,M,Day,0.775694444
Monitor8,ch27,56014,M,Day,0.469444444
Monitor24,ch22,Control,M,Day,0.624074074
Monitor56,ch4,62872,M,Day,0.727546296
Monitor5,ch11,80387,F,Day,0.807175926
Monitor56,ch27,62872,M,Day,0.557638889
Monitor22,ch28,64498,M,Day,0.566203704
Monitor63,ch17,56014,F,Day,0.309027778
Monitor22,ch30,64498,M,Day,0.559953704
Monitor63,ch8,56014,F,Day,0.477777778
Monitor58,ch22,62872,F,Day,0.58912037
Monitor75,ch14,55690,M,Day,0.808333333
Monitor18,ch17,80387,M,Day,0.664351852
Monitor72,ch7,66945,F,Day,0.5625
Monitor63,ch2,56014,F,Day,0.611342593
Monitor7,ch27,Control,F,Day,0.432638889
Monitor75,ch22,55690,M,Day,0.741435185
Monitor72,ch13,66945,F,Day,0.655324074
Monitor24,ch17,Control,M,Day,0.766435185
Monitor63,ch10,56014,F,Day,0.542824074
Monitor59,ch13,55690,F,Day,0.512037037
Monitor56,ch7,62872,M,Day,0.508796296
Monitor77,ch14,64498,F,Day,0.270833333
Monitor72,ch19,66945,F,Day,0.78912037
Monitor22,ch27,64498,M,Day,0.667592593
Monitor59,ch11,55690,F,Day,0.638425926
Monitor58,ch11,62872,F,Day,0.489814815
Monitor77,ch5,64498,F,Day,0.340740741
Monitor58,ch23,62872,F,Day,0.316203704
Monitor60,ch30,66945,M,Day,0.674768519
Monitor7,ch17,Control,F,Day,0.419212963
Monitor18,ch6,80387,M,Day,0.705555556
Monitor18,ch15,80387,M,Day,0.758101852
Monitor72,ch27,66945,F,Day,0.820833333
Monitor72,ch15,66945,F,Day,0.447685185
Monitor22,ch9,64498,M,Day,0.56412037
Monitor24,ch4,Control,M,Day,0.720138889
Monitor56,ch28,62872,M,Day,0.636342593
Monitor77,ch28,64498,F,Day,0.409027778
Monitor77,ch13,64498,F,Day,0.403935185
Monitor24,ch6,Control,M,Day,0.867361111
Monitor22,ch11,64498,M,Day,0.650231481
Monitor8,ch9,56014,M,Day,0.606481481
Monitor24,ch18,Control,M,Day,0.852546296
Monitor72,ch4,66945,F,Day,0.693518519
Monitor75,ch19,55690,M,Day,0.650231481
Monitor22,ch2,64498,M,Day,0.755555556
Monitor24,ch9,Control,M,Day,0.597685185
Monitor5,ch27,80387,F,Day,0.532175926
Monitor59,ch5,55690,F,Day,0.657175926
Monitor7,ch28,Control,F,Day,0.571990741
Monitor59,ch12,55690,F,Day,0.525462963
Monitor77,ch15,64498,F,Day,0.220138889
Monitor63,ch4,56014,F,Day,0.764583333
Monitor24,ch10,Control,M,Day,0.541203704
Monitor72,ch6,66945,F,Day,0.699074074
Monitor63,ch12,56014,F,Day,0.584722222
Monitor7,ch24,Control,F,Day,0.436574074
Monitor63,ch7,56014,F,Day,0.822916667
Monitor56,ch15,62872,M,Day,0.601157407
Monitor60,ch11,66945,M,Day,0.634259259
Monitor59,ch8,55690,F,Day,0.654861111
Monitor24,ch14,Control,M,Day,0.699305556
Monitor60,ch32,66945,M,Day,0.440972222
Monitor72,ch17,66945,F,Day,0.748148148
Monitor8,ch2,56014,M,Day,0.534490741
Monitor5,ch32,80387,F,Day,0.547916667
Monitor24,ch28,Control,M,Day,0.728472222
Monitor7,ch10,Control,F,Day,0.408796296
Monitor72,ch16,66945,F,Day,0.807175926
