Line,Gene,Sex,Time (s),
36786,vtd,M,25.83,
36786,vtd,M,25.93,
36786,vtd,M,26.63,
36786,vtd,F,26.70,
36786,vtd,M,26.74,
36786,vtd,F,26.74,
36786,vtd,M,26.88,
36786,vtd,F,27.24,
36786,vtd,F,27.37,
36786,vtd,M,27.59,
36786,vtd,M,27.80,
36786,vtd,F,28.20,
36786,vtd,M,28.67,
36786,vtd,M,28.71,
36786,vtd,M,28.79,
36786,vtd,M,28.96,
36786,vtd,F,29.05,
36786,vtd,M,29.17,
36786,vtd,F,29.19,
36786,vtd,M,29.34,
36786,vtd,F,29.45,
36786,vtd,F,29.87,
36786,vtd,M,30.28,
36786,vtd,M,30.39,
36786,vtd,F,30.44,
36786,vtd,M,30.70,
36786,vtd,F,30.94,
36786,vtd,F,30.96,
36786,vtd,F,31.04,
36786,vtd,M,31.45,
36786,vtd,M,31.63,
36786,vtd,M,31.66,
36786,vtd,M,31.71,
36786,vtd,M,31.72,
36786,vtd,F,31.94,
36786,vtd,F,32.35,
36786,vtd,M,32.45,
36786,vtd,F,32.70,
36786,vtd,M,33.03,
36786,vtd,F,33.08,
36786,vtd,M,33.19,
36786,vtd,F,33.57,
36786,vtd,F,33.78,
36786,vtd,F,34.09,
36786,vtd,F,34.43,
36786,vtd,F,34.63,
36786,vtd,F,35.00,
36786,vtd,F,35.83,
36786,vtd,F,36.20,
36786,vtd,F,37.03,
36786,vtd,F,37.08,
36786,vtd,F,37.08,
36786,vtd,M,37.34,
36786,vtd,F,37.52,
36786,vtd,F,37.69,
36786,vtd,F,38.10,
36786,vtd,F,38.17,
36786,vtd,F,38.18,
36786,vtd,F,38.24,
36786,vtd,F,38.91,
36786,vtd,F,39.35,
36786,vtd,F,39.44,
36786,vtd,M,39.58,
36786,vtd,F,39.66,
36786,vtd,F,40.01,
36786,vtd,F,40.63,
36786,vtd,F,41.50,
36786,vtd,F,41.60,
36786,vtd,M,41.84,
60017,SMC3,M,1.57,
60017,SMC3,M,3.47,
60017,SMC3,M,9.02,
60017,SMC3,M,9.12,
60017,SMC3,M,9.20,
60017,SMC3,M,9.90,
60017,SMC3,M,10.00,
60017,SMC3,F,13.00,
60017,SMC3,M,14.63,
60017,SMC3,M,16.57,
60017,SMC3,F,16.65,
60017,SMC3,M,16.71,
60017,SMC3,F,16.95,
60017,SMC3,M,17.05,
60017,SMC3,M,17.70,
60017,SMC3,M,17.90,
60017,SMC3,M,18.96,
60017,SMC3,M,19.53,
60017,SMC3,M,19.61,
60017,SMC3,M,19.63,
60017,SMC3,M,19.74,
60017,SMC3,M,20.04,
60017,SMC3,M,20.19,
60017,SMC3,M,20.29,
60017,SMC3,M,21.07,
60017,SMC3,M,21.37,
60017,SMC3,F,21.79,
60017,SMC3,M,21.95,
60017,SMC3,M,22.00,
60017,SMC3,M,22.75,
60017,SMC3,M,22.81,
60017,SMC3,F,22.95,
60017,SMC3,F,23.13,
60017,SMC3,M,23.15,
60017,SMC3,M,23.16,
60017,SMC3,M,23.24,
60017,SMC3,F,23.84,
60017,SMC3,M,24.02,
60017,SMC3,M,25.24,
60017,SMC3,M,25.46,
60017,SMC3,M,26.11,
60017,SMC3,M,26.19,
60017,SMC3,F,27.22,
60017,SMC3,M,27.23,
60017,SMC3,M,27.41,
60017,SMC3,F,27.45,
60017,SMC3,M,27.78,
60017,SMC3,M,28.01,
60017,SMC3,M,28.14,
60017,SMC3,M,28.76,
60017,SMC3,M,29.03,
60017,SMC3,F,29.31,
60017,SMC3,F,29.46,
60017,SMC3,F,29.54,
60017,SMC3,M,30.44,
60017,SMC3,F,31.00,
60017,SMC3,F,31.45,
60017,SMC3,F,31.76,
60017,SMC3,M,31.93,
60017,SMC3,F,32.72,
60017,SMC3,M,33.41,
60017,SMC3,F,33.45,
60017,SMC3,M,34.00,
60017,SMC3,F,34.28,
60017,SMC3,F,34.38,
60017,SMC3,F,34.48,
60017,SMC3,M,34.89,
60017,SMC3,F,35.33,
60017,SMC3,F,35.69,
60017,SMC3,F,35.81,
60017,SMC3,F,35.97,
60017,SMC3,M,36.12,
60017,SMC3,F,36.39,
60017,SMC3,F,36.69,
60017,SMC3,F,36.84,
60017,SMC3,F,36.99,
60017,SMC3,F,37.10,
60017,SMC3,F,37.13,
60017,SMC3,M,37.33,
60017,SMC3,F,37.39,
60017,SMC3,M,37.65,
60017,SMC3,F,37.74,
60017,SMC3,F,37.98,
60017,SMC3,F,37.99,
60017,SMC3,F,38.24,
60017,SMC3,F,38.52,
60017,SMC3,F,38.55,
60017,SMC3,F,38.71,
60017,SMC3,F,38.85,
60017,SMC3,F,38.95,
60017,SMC3,F,39.28,
60017,SMC3,F,39.71,
60017,SMC3,F,40.08,
60017,SMC3,F,40.82,
60017,SMC3,F,40.92,
60017,SMC3,F,41.36,
60017,SMC3,F,41.51,
60017,SMC3,F,42.20,
60017,SMC3,F,44.08,
60017,SMC3,F,44.61,
TRiPsc,Control,M,3.45,
TRiPsc,Control,M,18.07,
TRiPsc,Control,M,20.65,
TRiPsc,Control,M,20.97,
TRiPsc,Control,F,22.01,
TRiPsc,Control,M,23.44,
TRiPsc,Control,M,28.09,
TRiPsc,Control,F,28.15,
TRiPsc,Control,M,29.88,
TRiPsc,Control,M,30.00,
TRiPsc,Control,F,30.65,
TRiPsc,Control,F,30.86,
TRiPsc,Control,F,31.02,
TRiPsc,Control,F,31.16,
TRiPsc,Control,F,31.29,
TRiPsc,Control,F,31.40,
TRiPsc,Control,F,31.84,
TRiPsc,Control,M,32.38,
TRiPsc,Control,F,32.51,
TRiPsc,Control,M,32.52,
TRiPsc,Control,F,32.72,
TRiPsc,Control,M,33.40,
TRiPsc,Control,F,33.41,
TRiPsc,Control,M,34.17,
TRiPsc,Control,M,34.33,
TRiPsc,Control,F,34.48,
TRiPsc,Control,M,34.71,
TRiPsc,Control,F,34.80,
TRiPsc,Control,F,34.86,
TRiPsc,Control,M,35.06,
TRiPsc,Control,F,35.18,
TRiPsc,Control,M,35.32,
TRiPsc,Control,M,35.44,
TRiPsc,Control,M,35.75,
TRiPsc,Control,F,35.95,
TRiPsc,Control,F,36.05,
TRiPsc,Control,M,36.27,
TRiPsc,Control,F,36.38,
TRiPsc,Control,F,36.65,
TRiPsc,Control,M,36.74,
TRiPsc,Control,F,36.81,
TRiPsc,Control,F,37.21,
TRiPsc,Control,F,37.34,
TRiPsc,Control,F,37.49,
TRiPsc,Control,F,37.65,
TRiPsc,Control,F,37.69,
TRiPsc,Control,M,37.89,
TRiPsc,Control,M,37.93,
TRiPsc,Control,M,38.03,
TRiPsc,Control,F,38.15,
TRiPsc,Control,F,38.40,
TRiPsc,Control,M,38.67,
TRiPsc,Control,F,38.69,
TRiPsc,Control,M,38.70,
TRiPsc,Control,F,38.84,
TRiPsc,Control,M,39.07,
TRiPsc,Control,F,39.31,
TRiPsc,Control,F,39.34,
TRiPsc,Control,F,39.43,
TRiPsc,Control,F,39.45,
TRiPsc,Control,F,39.59,
TRiPsc,Control,F,39.60,
TRiPsc,Control,F,39.63,
TRiPsc,Control,F,39.78,
TRiPsc,Control,M,39.94,
TRiPsc,Control,F,40.00,
TRiPsc,Control,M,40.24,
TRiPsc,Control,F,40.33,
TRiPsc,Control,F,40.39,
TRiPsc,Control,M,40.40,
TRiPsc,Control,M,40.46,
TRiPsc,Control,M,40.54,
TRiPsc,Control,M,40.55,
TRiPsc,Control,F,40.95,
TRiPsc,Control,M,40.96,
TRiPsc,Control,M,40.97,
TRiPsc,Control,F,41.02,
TRiPsc,Control,F,41.43,
TRiPsc,Control,F,41.67,
TRiPsc,Control,M,41.80,
TRiPsc,Control,F,41.81,
TRiPsc,Control,M,41.87,
TRiPsc,Control,M,42.15,
TRiPsc,Control,F,42.66,
TRiPsc,Control,M,43.05,
TRiPsc,Control,M,43.07,
TRiPsc,Control,F,43.07,
TRiPsc,Control,M,43.56,
TRiPsc,Control,M,43.94,
TRiPsc,Control,M,44.19,
TRiPsc,Control,M,44.27,
TRiPsc,Control,M,44.35,
TRiPsc,Control,M,44.57,
TRiPsc,Control,F,44.64,
TRiPsc,Control,F,44.80,
TRiPsc,Control,M,44.82,
TRiPsc,Control,M,44.91,
TRiPsc,Control,M,45.27,
TRiPsc,Control,M,45.29,
TRiPsc,Control,M,45.44,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
