Line,Gene,Sex,Tapping_observed
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
34351,SMC1,M,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,no
35211,brm,F,yes
35211,brm,F,yes
35211,brm,M,no
35211,brm,M,no
35211,brm,M,no
35211,brm,M,no
35211,brm,M,no
35211,brm,M,no
35211,brm,M,no
35211,brm,M,no
35211,brm,M,no
35211,brm,M,no
35211,brm,M,no
35211,brm,M,no
35211,brm,M,no
35211,brm,M,no
35211,brm,M,no
35211,brm,M,no
35211,brm,M,no
35211,brm,M,no
35211,brm,M,no
35211,brm,M,no
35211,brm,M,no
35211,brm,M,no
35211,brm,M,no
35211,brm,M,no
35211,brm,M,no
35211,brm,M,no
